N,P,K,Temp,Humidity,pH,Rainfall,Soil_temp,Soil_moisture,Crop
380.7,43.6,413.9,30.4,68.9,5.73,2183.3,24.4,78.8,Banana
282.7,68,468.4,27.4,80.7,6.17,1975.1,27.3,55.5,Banana
316.3,71.3,429,27.8,86.4,5.83,1884.9,29,51.6,Banana
290.6,69.7,474.7,26.3,90,6.29,2408.8,29.6,48.8,Banana
321.5,65.7,500,28.7,66.5,6.01,2081.9,31.6,73.3,Banana
308.4,43,362.1,23.8,66.9,5.99,2249.7,26.3,51.5,Banana
324.6,32.7,500,32.8,71.3,6.57,1988.1,23.3,48.6,Banana
378,40.2,500,21.8,86.3,6.02,2475.1,19.6,55.4,Banana
367.6,48.4,379.3,27.6,66.5,6,2063.9,27.1,65.2,Banana
253.4,44.8,372.3,21.9,66.9,6.36,2390.4,29.7,58.6,Banana
400,38.4,426,28.6,65.7,6.39,2167.7,28.2,47.8,Banana
325.5,29.8,341.1,27.2,90,6.11,2161.2,20.8,78.7,Banana
207.9,80,336.7,27.1,72.8,6.53,2074.9,35,49.7,Banana
189.1,47.9,401,26.7,89.9,5.87,2392.7,23.7,56,Banana
350.6,62.5,430.7,24.8,78.5,5.61,2112.7,30.3,44.6,Banana
299.4,50.8,413.4,24.4,70.9,5.95,2163.3,33.9,65.7,Banana
287.6,33.7,336.9,29.1,75.5,6.86,2247.8,25.7,57.6,Banana
242.4,45,414.3,27.8,78,6.37,2032.7,31.7,49,Banana
376.4,66.4,379.4,23.5,69.4,5.8,2049.7,32.7,55.9,Banana
254.4,54.4,354,28.9,61.6,5.64,2381,22.5,59.6,Banana
311.2,64.5,373.7,24.9,84.3,5.81,2203.4,27.1,64.8,Banana
271.2,54.1,368.4,28.6,77.5,6.08,1968.2,27,55.3,Banana
275.8,53.1,244.2,25.5,78.1,5.95,1993.9,28.3,60.5,Banana
302.7,80,362.3,31.7,62.5,5.98,2285.9,21.4,62.9,Banana
362.1,32.2,425.6,26.4,71,6.01,2306.2,21.7,69.3,Banana
251.5,54.4,437.1,30.6,60,5.65,2185.6,25.6,65.3,Banana
279.1,80,374.9,28.7,63.8,6.06,2098.3,26.5,60.3,Banana
335.9,21.9,443.3,26.9,81,5.73,2072.5,26.7,56.9,Banana
196.9,46.5,385.2,27.7,79.1,5.72,2062.4,24.3,65.9,Banana
332.5,36.3,409.8,32.8,80.5,5.91,2047.5,27.2,65.5,Banana
362.1,44,374.8,28.1,84.6,5.51,2090.4,21.7,60.1,Banana
274.8,40.6,500,30.6,83.5,5.85,2137.1,30.5,67.8,Banana
259.5,47.9,459.7,26.6,90,5.92,2073.3,28,75.2,Banana
240.8,28.4,322.3,26.1,67.5,5.89,2089.3,28.9,51.4,Banana
284.3,59.1,379.3,30.5,73.2,6.13,2044.3,24.6,67.5,Banana
289.8,20,403.6,21.4,89.3,5.66,2192.3,26.6,50.9,Banana
374.2,21.4,374.1,19.1,85.5,5.49,2195.3,30.8,47.5,Banana
298.6,30.7,378.9,26,82.4,5.95,2133,26,49.7,Banana
288.8,29.5,408,23.4,90,6.34,2085.5,27.4,71.9,Banana
264.2,69.3,417.9,27.6,86.9,5,2046.8,27.3,76.4,Banana
305.5,80,200,24.3,82.5,6.29,1901.1,26.4,70.7,Banana
242.1,60.2,427,38,75.3,6.14,2029.5,18.3,55.8,Banana
244,36.9,376.7,27.9,90,5.96,2058.8,21.4,68,Banana
242.6,40.4,388.3,25.6,76.2,6.3,2204.4,26.6,73.2,Banana
400,37.4,394.4,21.5,64.3,6.72,2335.9,23.3,66.6,Banana
245.5,60.1,423.1,23.9,68.1,6,2138.2,28.4,74.5,Banana
341.7,57.4,438.3,35.5,76.9,6.41,2449.1,33.5,64.9,Banana
307.8,38.7,349.2,26.2,73.6,6.11,2237.3,25,50.1,Banana
307.4,43.6,438.8,26.2,83.1,6.13,2239.8,24.5,43.6,Banana
343,40,310.1,31.6,69.7,5.97,2350,20,62.7,Banana
260.5,38.2,375.7,27.3,88.9,6.28,2299.2,27.5,60.3,Banana
302.6,63.2,310.5,22.6,60,6.61,2001.6,25.7,80,Banana
278.8,30.4,351.6,27.1,75,6.46,1983.5,21.5,57.1,Banana
258.3,40.8,386.3,21.9,90,5.96,2147,25,55.4,Banana
275.6,58.5,407.4,25.2,76.9,5.69,2095.1,25.2,70.9,Banana
400,60,275.6,23.5,72,5.87,2186.8,25.6,63.7,Banana
318.7,28.5,200,27.9,71,5.47,2119.3,27.3,55,Banana
293.3,80,297.8,22.2,87.7,5.51,2293,27.6,55.7,Banana
199.1,59.3,396.3,26.7,72,6.03,2457.6,28.8,37,Banana
368.9,36.6,472.1,25.3,61.5,6.3,2060.7,21.4,62.7,Banana
262.6,60.7,424.4,28.4,82.7,5.85,2074.7,24.6,46.6,Banana
269.6,67.2,376.6,25.4,70,5.68,2220.8,24.8,80,Banana
304.7,39.5,489.5,32.1,77.6,6.17,2472.7,24.1,80,Banana
163.7,55.2,435.3,30.8,73.5,6.09,2387.5,27.2,62.9,Banana
231,57.2,412.1,25.7,69.8,6.19,2196.7,24.1,58.6,Banana
249.6,42.4,498.3,25.4,67.2,6.53,2195.1,24.6,57,Banana
310.2,49.5,425.2,28.3,68.9,6.09,2135.2,23.2,65,Banana
286.1,56.6,316.1,31.5,70,5.97,2391.9,31.8,51.4,Banana
282.9,51.7,443,29.3,74.4,5.8,2407.3,24.5,52.5,Banana
310.8,39.5,471.6,27.6,89.2,5.79,1964.7,21.5,58,Banana
395.9,48.4,266.7,26.1,76.2,5.79,2448.7,27.6,52,Banana
256.5,35.7,377.7,28.6,60,5.99,2062.6,30.4,66.2,Banana
331.9,29.6,431.9,28.6,75.5,6.1,2306.9,24.1,54.8,Banana
359.2,20,368.1,27.8,90,5.78,2097.3,20.2,52.3,Banana
312.6,68.2,427.5,32.3,73.5,5.26,2193.6,23.4,54.9,Banana
343.3,80,347.5,25.4,76.9,6.44,2282.4,20.9,48.6,Banana
232.1,80,334.7,28.9,90,5.41,2110.9,29.6,58.4,Banana
372.1,56.6,445.2,25.1,90,6.01,2103.7,21,72.2,Banana
252.7,38.7,398.8,24.8,86.2,6.08,2127.7,22.2,55.9,Banana
400,69.8,417.6,33.6,88.4,6.05,2096.6,27.5,56.7,Banana
158.3,35.7,349.8,27.3,79.4,6.06,2355.1,25.9,57.7,Banana
295.9,47.6,399.9,23.4,90,5.97,2046.5,27.4,67.4,Banana
298,49.5,417.8,25.3,67.3,5.8,2199.4,24.4,60.1,Banana
286,80,407.9,22.4,70.5,5.92,2216.4,22.4,65.5,Banana
253.8,20,381.1,25.6,77.9,6.02,2129.5,29.9,60.5,Banana
311.5,37.9,324.7,26.5,82.2,5.71,2424.3,28,66.1,Banana
298.6,44,500,30.4,79.1,5.78,2194,24.1,56.4,Banana
314.9,45.4,436.6,26.2,69.8,5.62,2278.9,24.1,51.2,Banana
337.2,53.7,289,27.1,81.2,5.81,2054,27.7,56.4,Banana
252.4,62.8,500,25.7,74.8,6.04,2303.6,24.1,45.1,Banana
340.2,42.1,500,25.6,77.7,5.83,2142.5,24.5,57.6,Banana
308.3,44.3,427.6,29.8,80,5.88,2152.7,22.9,64.5,Banana
319.7,40.6,373,38,73.2,5.79,2069.4,18.3,53.6,Banana
238,63.2,383.1,26.5,78.6,5.98,2199.8,23.8,66.7,Banana
236.3,42.4,394.5,27.7,81.2,5.36,1932,28,66.7,Banana
222.8,44.1,449.9,27.9,77.4,6.12,2421,24,47.7,Banana
318.1,22.9,417.9,27.6,75.5,6.43,2241.2,21.7,67,Banana
306.5,60.4,373,32.3,75.3,6.01,1962.5,28.2,67,Banana
338.9,38.8,344.6,25.8,72.2,5.94,2203.2,27,54.7,Banana
301.2,49.3,380.8,30.7,65.4,5.94,2104.4,18,68.7,Banana
324.4,43.3,411.8,28.8,68.6,5.74,2161.1,27.2,55.5,Banana
245.3,20,437.3,30.7,76.5,6.12,2320.6,31.3,56.9,Banana
260.5,44.7,381.2,29.5,69.7,5.94,2800,29.8,57.2,Banana
350.6,54.3,385.2,23.6,66.3,5.68,2006.8,28.8,54.5,Banana
285.8,36.5,401.5,28.7,85.6,5.67,2205.8,20,63.1,Banana
268.6,28.4,417.2,27.8,69.4,6.07,2205.4,19,80,Banana
275.2,39.9,377.1,21.2,75,5.73,2506.3,19.7,76.3,Banana
210.7,40,402.2,26.7,81.7,6.67,2235.5,24.8,69.5,Banana
284.7,51.7,378.3,28.4,67.7,5.46,2225.4,24.6,54.9,Banana
234.8,46.1,429.1,28.1,74.9,5.88,2145.9,28.6,41.8,Banana
191.8,58.1,393.8,24.8,60,6.13,2222.1,18.9,61.3,Banana
360.3,59.9,397.2,28.7,78.3,6.23,2288.4,26.9,54,Banana
242.9,71.9,424.3,28.1,60.2,6.14,2222.6,20.7,51.9,Banana
210.5,53.9,414.6,29.3,64.4,5.86,2291.3,29.6,46.3,Banana
333.6,52.9,390,28.6,70.2,6.33,1582.2,25.9,80,Banana
358.1,20,394.7,22,64.9,6.47,2310.7,27.4,63.5,Banana
267.6,65.8,292.2,26.2,73.3,5.89,2043.7,25.4,48.3,Banana
280.5,52.1,378,26.9,74.3,6.04,2205.2,20.2,58.9,Banana
298.3,43.4,365.4,26.9,71.7,5.44,2120.4,30.5,58.4,Banana
400,50.7,424.2,27,74.3,6.14,2281.3,24.9,59.1,Banana
320,29.1,491.2,19.7,60,6.05,2209,25.6,54.5,Banana
260.5,32.7,340.2,27.3,90,6.22,2322.2,24.7,57.7,Banana
270.1,60.7,500,29.7,68.3,6.13,2111.5,30.5,60.4,Banana
326.4,64.5,378.9,27.3,85.5,6.22,2327.2,30.5,53.1,Banana
279.6,80,500,23.8,82.1,6.55,2196.9,29.1,49.1,Banana
218.9,59.3,439.2,26,77.4,5.74,2059.4,24.4,61.7,Banana
292.4,56.9,483.1,29.6,83.4,5.67,1807.4,30.3,66.7,Banana
281.9,30.6,434.7,26.5,66.9,5.7,2281,25.9,66.3,Banana
262.2,47.7,406.8,21.6,60,5.11,2300.6,27.5,70.9,Banana
259.1,65.5,353.2,23.6,90,5.93,2387,28.1,53,Banana
370.9,53.1,454.9,25.9,77.4,5.42,1963.4,18.5,48.6,Banana
297.5,47.3,421.9,24.2,87.1,5.81,2104.4,31.6,38.5,Banana
399.3,37.7,440.6,23,90,6.14,2348.4,29,80,Banana
351.3,45.2,358.9,23.8,71.3,6.47,2331.2,27.3,52,Banana
400,43.3,348.3,26.6,87.3,6.04,2315.8,28.7,79.8,Banana
265.8,32.1,346.7,32.5,90,5.77,2707.9,29.9,71.7,Banana
287.6,54,477.9,26.4,79.3,6.59,2262.8,26.3,56.5,Banana
314.9,59.8,432.8,25.2,76.2,6.2,2299.7,35,56.3,Banana
400,48,461.3,26.7,77.8,6.18,2224.2,25.4,67.5,Banana
239.9,60.2,417,31.1,90,6.07,1995,34.1,65.5,Banana
400,39,330.6,31.4,87.9,6.21,1500,26.5,45.9,Banana
304.7,41.8,360.7,24,66.5,5.7,2317.3,25.1,53.1,Banana
352.2,49.6,373.3,26.7,89.6,5.66,2284.1,25.8,43.2,Banana
330.8,51.1,364.2,28.2,72.8,6.26,2362.3,25.3,33.5,Banana
239.3,52.7,414.1,30,66.9,5.86,2311.9,24.6,80,Banana
245.8,69.3,370.9,26.6,63.5,6.06,2284.3,29.7,63.3,Banana
329.4,52.3,379.2,27.1,81.5,5.91,2077.2,28.2,80,Banana
297.1,67.9,374.2,22.4,73.7,5.4,2196.5,21.6,55.4,Banana
338.2,62.7,448.6,26.4,77.6,6.22,2142,26.5,66.8,Banana
332,62.2,500,27.4,74.8,5.6,2121.9,22.8,69,Banana
308,61.6,385.3,25.2,82.9,6.04,2449.7,28.5,60.6,Banana
374.2,55.7,351.7,27.3,73.1,5.82,2271.4,28,67.9,Banana
227,52.4,342.4,24.1,60,5.98,2340.7,31.7,75.5,Banana
259.2,20,341.1,27.1,63.5,6.42,2251.9,18,56.7,Banana
298.7,26,374.6,27.1,78,5.67,2082.3,27.9,49.6,Banana
301.9,55,490.7,26.7,80.3,5.75,2181.6,24.1,57.7,Banana
259.9,52.8,375.8,29.3,66.9,5.62,1835.5,26.7,62.1,Banana
306.6,56.7,435.4,29.4,65.7,5.96,2157.3,26.2,55,Banana
333.5,63.4,389.9,26.4,84.6,6.11,2407.5,22.1,60.7,Banana
306.9,59.5,383.2,29.1,60,5.71,2425.1,28.7,59.1,Banana
336.8,62,301.2,27,67.9,6.18,2284.3,25.4,76,Banana
299.3,44.3,364.6,28,75.7,6.23,1828.4,27.5,48.1,Banana
235.8,25.5,500,26.9,89.2,6.39,2001.5,25.4,50.1,Banana
328.4,20,358.7,27.9,73.2,6.08,1962,34.9,56.7,Banana
264.4,37,361.8,25.1,84.3,6.52,2044.2,25.4,55.1,Banana
231.7,32.8,414.7,26.6,79.6,5.48,2061.8,25.2,50.8,Banana
286.2,42.9,405.5,24.3,69,6.23,2337.6,21,64.4,Banana
347.8,21.1,489,27.4,76.4,5.9,2028.4,28,50.6,Banana
358.5,37,420.4,27.9,77.5,6.14,2257,19.4,73.1,Banana
339.4,67.7,394.4,26.7,66.9,6.06,1985.4,21.8,55.6,Banana
300.8,55.2,387.1,24.7,84.2,6.2,2470.4,24.4,72,Banana
352.6,41.6,388.9,24.3,82.5,5.88,2276.6,27.3,59.9,Banana
356.6,28.1,384.1,25.5,84.9,6.18,2100.6,29.8,80,Banana
315.5,60,498.5,28.5,73,5.21,2134.1,28.6,70.6,Banana
268.4,36.5,455.5,27.4,82,5.35,2098.6,26.4,64.3,Banana
304.1,80,407.6,32.5,60,6,2361.7,31.7,80,Banana
278.7,58,339,23.8,60,5.83,2014.8,31,50.5,Banana
337.6,59.6,377.6,24.7,84.7,5.9,1861.9,24.7,53.2,Banana
330.4,43.3,403.9,25.5,77.8,6.27,2090.6,29.8,71.4,Banana
261.4,52.3,380.9,32.9,88.7,5.93,2174,20.2,42.7,Banana
323,49.7,481.3,27.9,85.4,6.48,2219.8,26.7,73.6,Banana
321.6,37.3,457.6,29.7,61,5.32,2181.5,27.6,61.6,Banana
245,72.4,467.4,23.7,60.2,5.95,2469.4,32.9,66.5,Banana
264.1,44.8,385,26.1,67.2,6.29,2368.1,30.3,63.6,Banana
341.5,25.7,436.3,28.9,67.8,6.09,2214.8,24.7,57.7,Banana
358.6,40.6,431.3,23.3,76.4,5.8,2039,18.3,67.7,Banana
259.7,48.8,493.8,27.2,60,6.1,2800,21.7,77.7,Banana
241.7,66.6,445.9,24.1,78.5,6.3,2449,26.8,40.7,Banana
400,48.8,423.1,27.9,83.2,5.82,2460.3,23.7,51.1,Banana
309.8,64.4,410.4,23.1,71.2,6.11,2312.2,29.5,69.6,Banana
379.1,36.4,480.9,21.8,75.2,6.1,1973.7,24.4,53.1,Banana
255.4,34.1,488.1,24.4,71.4,5.76,2192.2,23.4,69.6,Banana
248.7,40.5,332.3,29.2,87.4,5.9,2175.5,23.6,41.4,Banana
271,56,389.6,23.6,81,5.7,2068.7,28.4,52.1,Banana
282.5,47.1,471,24.7,66.3,6.65,2180.5,29.5,63.2,Banana
239.7,58.7,377.9,22.7,72.8,6.06,2336.5,33.3,69.7,Banana
349,55.9,435.3,25,60,6.12,2277.2,29.9,74.3,Banana
229.6,42.7,395.9,28.2,79.8,5.47,2341,22.7,47.3,Banana
348.2,29.1,478.4,28.3,82.9,6.23,2043.8,23.8,62.1,Banana
379.5,61.7,422.1,18.9,72.6,5.64,2033.4,25.2,68.5,Banana
311.7,51.5,349.2,23.8,68,5.83,1850.8,24.1,50,Banana
279.2,44,361.9,29.1,84.1,6.31,2800,23.8,62,Banana
305.9,55.8,400,25.9,61.3,6.35,2046.2,23.2,49,Banana
301,46.4,386.1,24,76.5,6.32,2173.5,18,57.9,Banana
270.4,77.6,362,27.9,66.9,5.69,2139.3,24.3,67.4,Banana
294.7,62.1,408.6,29,63.7,6.04,2111.8,23.1,57.4,Banana
353.2,50.4,343.8,29.8,66.5,6,2324.7,27.7,63,Banana
355.4,20,488.1,26.4,85.9,6.23,2300.2,20.5,71.7,Banana
317.8,41.8,485.1,29.1,87.8,5.95,2121,26.2,71.8,Banana
295.1,50.4,356.8,21.1,78.3,7,1971,28.5,51.3,Banana
243.2,70.2,374.4,31.2,66.2,6.59,2202.6,18.9,51.2,Banana
232.1,69.3,429.6,32.4,80.3,5.92,2407,35,49.7,Banana
269.6,52.8,390.4,29.4,76.6,5.94,1856.4,24.5,46.9,Banana
201.5,63.4,389.9,26.4,77,5.83,2800,23.1,46.5,Banana
294,59.3,379.4,31.2,65.6,5.44,1872.6,18,59.6,Banana
327.9,62.2,405.5,28.9,80,6.1,1666.7,25.7,59.9,Banana
358.3,63.5,372.3,31.2,86.8,5.89,2402.2,22.6,45.3,Banana
239.5,75.3,376.5,28.2,86,5.58,2266.6,21,80,Banana
346.8,80,394.6,26,68.1,6.5,2159.6,25.1,78.4,Banana
211.6,61,367.3,22,62.7,6.15,2122.1,22.9,66.1,Banana
357.2,53.6,342,25.6,77.5,5.81,2297.9,20.9,66,Banana
287.7,40,446.1,27,73.8,5.95,2066.7,25.4,52.9,Banana
297.3,79.3,418.7,27.5,83.9,6.04,1988.5,33.5,80,Banana
366,58.4,432.4,23.9,63.1,6.46,2338.5,27.5,64.6,Banana
283.9,56.7,396.3,25.1,68.9,6.42,2100.3,29.3,55.1,Banana
213.5,55.8,392.9,31.6,89.4,5.72,2395.3,25.6,50.9,Banana
225.3,58.4,379.4,25.2,61.1,6.22,2197.1,28.6,70.7,Banana
355.4,43.6,444.2,27.3,80.9,6.41,1785.5,30.8,62.5,Banana
288.7,36.7,442.9,28.4,65.7,5.58,2101.5,25.6,54.8,Banana
262.5,51.2,357.9,23.3,61.8,5.74,2213.8,24.1,57.7,Banana
239.3,25.2,362.2,24.1,74.4,5.3,1939.6,25.7,52.6,Banana
291.6,44.4,339.4,26.3,66.1,5.58,1925,28.4,58.6,Banana
257.8,44.8,375.3,33.5,86.6,5.64,2314.9,27.5,47.7,Banana
332.6,31.9,435.2,26.3,85.4,6.3,2250.1,26.2,68,Banana
319.5,55.1,336.2,31,83.8,6.07,2020,34.4,60.4,Banana
317.7,39.2,323.9,29.8,74.7,6.24,2469.8,28.8,58,Banana
291.5,73.4,383.4,26.4,65.9,5.37,2077.6,27.4,64.3,Banana
360.1,32,427,28.4,65,6.31,2021.3,28.1,60.1,Banana
219.6,50.4,399.8,32.1,79.6,6.15,2475.4,18.5,60.9,Banana
226.7,41.9,427.4,30.9,64.6,5.85,2477.1,24.2,60.1,Banana
307.6,20,442.3,29.3,67.8,5.97,2271.8,25.9,49.3,Banana
305.1,57.2,410.9,25.9,71.1,6.04,2159.1,19.1,59,Banana
336.4,37,324,28.7,67,6.08,2106.1,28.4,58.4,Banana
354.5,65.9,450.7,24.3,74.5,5.92,2589.8,30,53.5,Banana
313.5,62.2,462.4,24.4,90,7,2316.5,23.3,67.5,Banana
350.8,47,399.2,20.4,77.7,5.56,2275.8,25.4,52.4,Banana
352.4,68.5,462.4,24,69.6,6.22,2319.6,26.4,73.6,Banana
363,35.5,339.9,21.3,60,5.85,2142.3,28.3,59.9,Banana
191.6,51.4,407,22.1,80.4,6.39,2531.2,27.2,68.7,Banana
346.3,42.5,469.6,26.7,78,5.68,1970.1,25,78.8,Banana
221.5,52.2,372.1,27.8,77.4,5.89,2170.1,34.2,55.9,Banana
299.3,59.6,407.1,23.4,75.9,5.7,2032.7,24.6,69.8,Banana
323.5,52,335.2,32,90,5.96,1877.7,24.6,74.2,Banana
354.3,37.3,453.8,21.7,90,5.82,1887.1,28.4,57.3,Banana
384.3,28,485.1,28.2,90,5.94,2641.7,18.8,66.4,Banana
260.5,34.1,307.7,25.3,85,5.38,2356.2,27.7,68.3,Banana
304,41,371.8,26.2,60,6.16,2403.8,25.1,72.6,Banana
357.3,54.1,441.8,20.8,72.1,5.62,2359.8,35,77.9,Banana
228.8,33.5,344.7,21.6,78,6.13,2221.2,27.7,66.5,Banana
237.3,24.9,415.9,27.2,61.5,6.04,2163.2,26.7,57.3,Banana
316.9,66.2,405.4,27.4,74.8,6.23,2501.6,21.5,50.7,Banana
312.2,51.1,365.7,25.6,60,7,2349.7,25,62.6,Banana
321.1,48.5,316.3,22.1,64,6.03,2077.5,24.6,65.8,Banana
304.1,44.1,453.7,31.1,70,5.41,2218.4,25,68.1,Banana
145.9,46.9,334.6,22.2,72,6.45,2431,23.5,47.4,Banana
287.4,43.4,400,25.5,81.2,5.89,2401.5,31,49.7,Banana
273.9,61.1,363.3,29.9,83.7,6.3,2275,25.4,61.5,Banana
278.1,66.6,391.7,23.5,86.2,6.21,2047.3,28.3,49.5,Banana
191.1,35.7,500,21.8,90,5.9,2204.4,29.6,76.5,Banana
271.3,44.2,359.8,26,76.4,5.96,2430.9,24.2,74.6,Banana
400,44,376.2,37,88.5,6.22,2106,18,55.6,Banana
287.4,49.2,392.4,23.5,79.4,6.06,2088.7,30.9,51.3,Banana
277.6,33.3,421.2,25.8,71.9,6.5,2128.1,23,63.1,Banana
255.1,60.1,331.4,27,78.4,6.37,1970.5,24.9,65.2,Banana
358,44.7,472.2,27.4,70,6.03,2351.8,24.3,55.5,Banana
357.5,38.1,346.2,32.3,86.3,6.07,1984.2,29.2,69.6,Banana
343.5,45.6,406.5,30.6,85,5.45,2080.2,21,64.9,Banana
356.5,75.8,365.5,24.3,60,5.82,2075.8,25.7,52.1,Banana
230.2,44.1,290.9,21.4,60.6,5.46,1837.2,28,59.8,Banana
277.3,62.3,411,30.4,78.6,6.06,2406.5,24.9,74.8,Banana
400,54.6,379.6,28.4,84.6,6.03,2263,19.3,71.8,Banana
268.2,52.7,413.1,24.9,60,6.25,2553.6,20,49.6,Banana
400,28.1,436.4,27.2,69,7,2344.4,27,58.7,Banana
384.4,56.6,371.9,27.4,82.2,5.8,2227,35,50.4,Banana
294.1,48.2,415.3,22.9,62.3,6.12,2800,22.6,56.7,Banana
251.2,42.6,500,38,70.8,5.97,1937.7,21.1,51.6,Banana
314.5,70.7,446.8,24,81,6.33,2167.9,25.1,53.2,Banana
308.2,56.6,500,27.4,86.9,6.11,2327.9,21.8,49.4,Banana
307.9,43.4,500,21.6,79.5,6.4,2800,25.5,76.1,Banana
223.5,60.3,361.2,27.5,90,5.97,2111.9,26.7,80,Banana
256.7,20.1,357.2,28.8,78.6,6.97,2177.6,25.3,47.8,Banana
383.8,35.6,500,24,74.2,6.15,2328.5,24,55.4,Banana
133.2,54.4,385.3,26.1,73.9,6.36,2125.9,24.9,59.4,Banana
213.4,61.7,333,38,75.1,7,2263.8,22.9,64.3,Banana
224.6,42.5,385.3,37.3,71.2,6.22,1959.7,18,65.3,Banana
311.9,36.3,300.5,34.5,65,6.17,1857.5,33.1,52.2,Banana
282.4,50.3,470.4,26.2,81.5,5.98,2319.1,25,63.3,Banana
290.7,53.5,500,25.6,88.9,6.29,2527.6,27.1,58.1,Banana
243.2,51.2,426.7,27.1,80.2,6.19,2571.4,26.2,55.3,Banana
246.7,53,421.3,27.9,77.8,5.49,2233.8,23.5,59.2,Banana
381.3,59,384.4,29.4,87.5,5.66,2360.5,30.1,70.5,Banana
271,70.1,415.1,23.5,71.5,6.33,2252.6,29.9,54.9,Banana
255.7,66.9,438.2,28.6,85.5,5.93,2179.2,25.5,60.8,Banana
248.3,38.8,482.9,16,61.9,5.81,2084.6,22.2,59.5,Banana
148.5,20,407.6,32.6,68.2,5.91,2161.7,25.5,50.3,Banana
275,30.4,372.3,34.2,79.1,5.82,2426.9,29.2,60.5,Banana
329.9,61.2,342.9,23.5,72.7,5.71,2603.2,26.5,64.7,Banana
223,61.7,389.4,27.7,73.8,6.38,2143.6,21.9,44.9,Banana
333.8,51.7,420,27,65.8,5.99,2118.8,25.9,80,Banana
281.5,54,358.9,26.2,90,5.49,2055.8,28.5,58.9,Banana
281.2,63.7,460.8,26.2,60,6.39,2248.1,24.2,56.6,Banana
392.4,80,408.3,25.8,64.9,5.86,2669.7,28.8,63.8,Banana
231.6,50.9,254.6,29.8,70.8,5.99,1979.4,29.8,51.1,Banana
325.6,41,301.7,28.4,89.9,5,2190.8,26.9,58.4,Banana
280.1,41,410.8,29.4,88.6,5.54,2340.3,27.5,79,Banana
293.2,23,389.5,19.9,79.3,6.04,2318.2,23.1,68.3,Banana
248.3,23.7,500,25.1,68.2,6.48,2399.7,31,67.8,Banana
246.4,62.7,428.6,29.2,81.1,6.21,2031.4,23.6,64.6,Banana
267,61.1,391,30.9,86.3,5.83,2262.8,29.6,61.3,Banana
298.7,24.7,388.3,28,75.9,6.16,2132.3,26.2,49.7,Banana
385,66,420.9,24.1,86.3,6.41,2422.9,20.5,57,Banana
303.3,44.9,391.7,24.1,63.1,5.57,2113.7,28.6,71.5,Banana
290.1,26.8,393.8,29.5,74.9,5.76,2010.9,27.2,64.7,Banana
299.5,62.2,370.7,25.9,81.8,6.07,2175.6,22,67.2,Banana
314.3,63.5,327.2,28.5,83.8,5.56,1986,24,70.7,Banana
249.1,53.6,423.4,27.6,74.4,6.19,2379.4,21.5,67.6,Banana
261,29.5,366.2,26.2,71.1,6.12,2432.5,23.9,62.3,Banana
371.8,55.6,397.4,29.3,71.8,6.5,2532.2,32.3,56.4,Banana
297.7,61.6,445,22.9,84.5,6.21,2128.6,29,41.3,Banana
285.8,26.3,397.3,30.2,68,5.84,2392.2,27.8,52.6,Banana
282.5,37.7,428.4,31.2,68.8,5.77,2722.9,27.4,60.2,Banana
277.8,51.7,326.8,25.3,73.9,6.14,2217.4,22,71.8,Banana
240.2,40.9,427.3,24.8,75.7,6.14,2287,28.2,68.7,Banana
275,47.7,371.3,31.8,65.6,5.79,2214.5,29.7,61,Banana
155.7,24.3,335.4,21.5,70.5,6.11,2219.4,20,74,Banana
400,66.4,423.1,29.1,66,6.11,2578.7,28.8,60.7,Banana
288.7,76.1,446.2,31.3,73.5,6.07,1901.5,20.2,55.5,Banana
347.1,74,421.7,23.3,60,6.53,2171.1,27.8,46.6,Banana
228.1,48.1,424.2,27.3,76.9,6.71,2464.1,29.8,43.8,Banana
261.8,54,317.4,28.1,74.3,5.99,1974.3,28,51.2,Banana
380.8,39.9,382.5,32.1,90,5.86,2354.2,25.5,71,Banana
241.2,48.5,445.8,24.1,90,5.67,2142.6,26.2,56.9,Banana
371.3,73.5,332.2,24.4,68.7,6.58,2773,23.5,59.7,Banana
292,33.9,358.4,38,90,5.56,2174.2,27.8,58.2,Banana
325.4,20,385.4,26.8,73.9,6.49,2124.7,24.1,51.7,Banana
319.4,55.3,373.6,27,80.1,5.77,2022.5,18.9,69.8,Banana
389.8,55,437.7,29.7,60,6.07,2197.9,24.6,65.2,Banana
259.8,53.6,388,31.1,62.1,5.86,2372,29.2,53.4,Banana
292.8,51.9,500,23.3,74.3,6.1,2765,20,75.7,Banana
347.7,39.5,500,30.3,71.3,5.31,2253,34.4,60.2,Banana
330,80,307.5,27.5,84.4,5.6,2020.7,29.2,51.5,Banana
239.7,55,373.2,31.4,69.1,5.81,2800,18.9,69.8,Banana
299.6,69.5,365,30.1,86.7,6.24,2602.7,30.3,77.8,Banana
365.4,33.7,437.8,23.9,66.1,5.49,1780.4,30.9,62.2,Banana
348.9,48.6,356.9,24.9,80.8,5.69,2145.2,20.8,63.9,Banana
317,60.8,447.6,27.9,85.7,5.72,2019.7,21,78,Banana
247.1,62.2,220.8,25.4,83,6.1,1957.4,29.1,70.9,Banana
289.9,54.1,364.5,26.3,69.4,6.13,2418.2,35,72.4,Banana
344.3,23.5,398.8,23.9,75.8,6.01,2138.4,27.4,52.9,Banana
337.3,53.3,461.4,30.8,63.5,5.93,2142.3,25.7,57,Banana
314.1,29,383.9,30,79.7,6.28,2036.9,28,58.7,Banana
